Motion #,Motion Title
CB1-A1,Strike Regional Requirements for National Conventions
CB3,Adding Candidate Membership to the NPC
CB6,Establishing a National Organizing Committee
CB7,Hold All Leadership Elections by Single Transferable Vote 
CB8,Defining the Role of DSA’s National Political Platform
M14,Credentials Committee Recommendations
M20,Division of a Question: Credentials Committee Recommendations - Divide Portland Censure and Unseating
M21,Division of a Question: Credentials Committee Recommendations - Separate Portland and Pittsburgh challenges
M29,"Amend: Section III to define term ""germane"" as ""in relevant to a subject under consideration such as a main motion”. Amend Section III.C. Consent Agenda to change the threshold of item removal from consent agenda from 1/3 to 10%"
M32,Consent Agenda
M33,Amend: Remove R14 from Consent Agenda
M34,Amend: Remove R32 from Consent Agenda
M39,"Amend: Consider Resolution 19: Amnesty for All, Socialist Internationalism, and the Right to Stay Home to the Agenda in front of Resolution 1"
M42,"Amend: Convention Rules - Strike the words ""Ballots must be complete, where all eligible candidates are assigned a preference"" from paragraph III.D.5, as well as strike the words ""Borda Score"" from paragraph III.D.6. and replace them with the words ""Scottish Single Transferable Vote."""
M45,Amend: Request to move 30 minutes on Friday from NPC recommendations to Consent Agenda
M47,"Point of Order: 
First, the NPC does not have the authority to remove Kara H. or any candidate from the ballot. The convention is credentialed and seated and the NPC’s authority as executive board between conventions has expired per the constitution and bylaws. Moreover, the NPC statement from this afternoon fails to cite any part of DSA’s Constitution, Bylaws, or any other rule to justify their decision. Just as the NPC withdrew its late constitutional and bylaws amendments, they should withdraw their decision and statement for non-conformance with our rules. 

Second, the unilateral action by the NPC violates Kara H’s right to reply under Resolution 33 (2017). While exceptional circumstances can demand exceptional action, the rights of our members are inalienable. The NPC states they wish to protect the integrity of R33 and promise a R33-compliant process but have started by violating the seven-day notice requirement in the resolution itself. Disciplinary action, such as a bar from office, cannot be taken until that period has elapsed, per R33. 

Third, the NPC is conflicted. The statement barring Kara H. is signed by incumbent members of the NPC, who have a clear conflict of interest in barring candidates from the ballot. A more appropriate committee to consider this action would be the Elections and Credentials Committee. It is my understanding that the E&C Committee was simply CC’ed on the NPCs decision by fiat. This indicates that they were not consulted in this matter and is highly inappropriate for a convention of delegates. 

Finally in the interest of the health and welfare of this convention and socialist camaraderie I request the NPC apologize for the confusion caused by their words and deeds. For the reasons above, I move to vacate the decision of the NPC, and direct the Elections and Credentials Committee to restore Kara H. to the NPC ballot. I request that this motion be heard before the order of business is voted on by the delegates."
M53,Amend: The order of business to add CB2: National Referendum to the Friday debate block before CB3.
M59,Previous Question: Close debate on Consent Agenda
M69,Limit Debate: Limit debate for any NPC recommendation to one speaker for and one speaker against.
M71,Postpone Indefinitely: The Chapter Affiliation Agreement Recommendation.
M74,Division of a Question: Divide CB7 to consider voting for local chapter officers separately from voting for regional / state / national orgs
M75,Amend: Platform Amendment #1 – International solidarity
M77,National Platform
M80,Appeal: The decision of the chair around suspending rules to extend debate
NPC4-A1,Amendment #1 to Chapter Affiliation Agreements
NPC5-A1,Amendment #1 to the Grievance Process Recommendation
NPC5-A2,Amendment #2 to the Grievance Process Recommendation
NPC5-R5,Grievance Process Updates
R1,Resolution on the Defense of Immigrants and Refugees
R14,Committing to International Socialist Solidarity
R18,International Committee and Mass Organizing
R20,Class Struggle on the Housing Terrain: Building Power in the Tenants’ Movement
R20-A9,Amendment #9 to Resolution #20 – Class Struggle on the Housing Terrain: Building Power in the Tenants’ Movement
R23,Childcare for All
R26-A12,Amendment #12 to Resolution #26 – Developing Independent Organizations & Training Organizers for Emerging Conditions
R29,Stipends for NPC Steering Committee Members
R30,Strengthening DSA From the Bottom Up Through National Matching Funds for Chapters to Hire Staff and Open Offices
R32,Strengthening YDSA
R38,A Socialist Horizon
R38-A14,Amendment #14 to Resolution #38 – A Socialist Horizon
R5-A2,Amendment #2 to Resolution #5 – Building Worker Power to Win Democratic Socialism: A Labor Strategy for DSA in 2021-2023
R8,Toward a Mass Party in the United States (Electoral Priority)
R8-A5,Amendment #5 to Resolution #8 – Toward a Mass Party in the United States (Electoral Priority)
R8-A6,Amendment #6 to Resolution #8 – Toward a Mass Party in the United States (Electoral Priority)
